k,accuracy,f1_0,f1_1
11,0.9133858267716536,0.8984615384615384,0.9244851258581236
12,0.8976377952755905,0.8737864077669902,0.9139072847682119
12,0.8740157480314961,0.8481012658227848,0.8923766816143498
12,0.8871391076115486,0.8668730650154799,0.9020501138952164
12,0.868766404199475,0.84375,0.8868778280542986
12,0.8713910761154856,0.8403908794788274,0.8923076923076924
12,0.8818897637795275,0.8589341692789969,0.8984198645598194
12,0.89501312335958,0.8726114649681529,0.9107142857142857
12,0.847769028871391,0.8092105263157895,0.8733624454148472
12,0.8818897637795275,0.8571428571428571,0.8993288590604027
12,0.9133858267716536,0.8996960486322189,0.9237875288683602
13,0.8923884514435696,0.8673139158576052,0.9094922737306843
13,0.868766404199475,0.8407643312101911,0.8883928571428571
13,0.884514435695538,0.8616352201257862,0.9009009009009009
13,0.8661417322834646,0.8380952380952381,0.8859060402684564
13,0.8740157480314961,0.8441558441558441,0.8942731277533039
13,0.8740157480314961,0.85,0.8914027149321267
13,0.8976377952755905,0.877742946708464,0.9119638826185101
13,0.847769028871391,0.8092105263157895,0.8733624454148472
13,0.8871391076115486,0.8634920634920635,0.9038031319910514
13,0.9133858267716536,0.8990825688073395,0.9241379310344827
14,0.8923884514435696,0.8681672025723473,0.9090909090909091
14,0.868766404199475,0.8397435897435898,0.8888888888888888
14,0.889763779527559,0.86875,0.9049773755656109
14,0.868766404199475,0.8417721518987342,0.8878923766816144
14,0.8713910761154856,0.8382838283828383,0.8932461873638344
14,0.8871391076115486,0.8660436137071651,0.9024943310657596
14,0.8923884514435696,0.8698412698412699,0.9082774049217002
14,0.8451443569553806,0.8065573770491803,0.8708971553610503
14,0.884514435695538,0.8607594936708861,0.9013452914798207
14,0.916010498687664,0.901840490797546,0.926605504587156
15,0.8923884514435696,0.8673139158576052,0.9094922737306843
15,0.8713910761154856,0.842443729903537,0.8913525498891353
15,0.884514435695538,0.8616352201257862,0.9009009009009009
15,0.863517060367454,0.8333333333333334,0.8844444444444445
15,0.863517060367454,0.8311688311688312,0.8854625550660793
15,0.8818897637795275,0.8598130841121495,0.8979591836734694
15,0.905511811023622,0.8853503184713376,0.9196428571428571
15,0.8451443569553806,0.8065573770491803,0.8708971553610503
15,0.8871391076115486,0.8634920634920635,0.9038031319910514
15,0.910761154855643,0.8950617283950617,0.9223744292237442
16,0.889763779527559,0.864516129032258,0.9070796460176991
16,0.8766404199475065,0.8488745980707395,0.8957871396895787
16,0.8766404199475065,0.8535825545171339,0.8934240362811792
16,0.8740157480314961,0.8471337579617835,0.8928571428571429
16,0.863517060367454,0.8311688311688312,0.8854625550660793
16,0.884514435695538,0.8633540372670807,0.9
16,0.9028871391076115,0.8817891373801917,0.9175946547884187
16,0.84251968503937,0.803921568627451,0.868421052631579
16,0.8766404199475065,0.8498402555910544,0.8953229398663697
16,0.9186351706036745,0.9040247678018576,0.929384965831435
17,0.889763779527559,0.864516129032258,0.9070796460176991
17,0.8713910761154856,0.842443729903537,0.8913525498891353
17,0.8818897637795275,0.8589341692789969,0.8984198645598194
17,0.868766404199475,0.8397435897435898,0.8888888888888888
17,0.868766404199475,0.8376623376623377,0.8898678414096917
17,0.8792650918635171,0.85625,0.8959276018099548
17,0.9002624671916011,0.8789808917197452,0.9151785714285714
17,0.84251968503937,0.803921568627451,0.868421052631579
17,0.8818897637795275,0.8571428571428571,0.8993288590604027
17,0.9212598425196851,0.9074074074074074,0.9315068493150684
18,0.8923884514435696,0.8673139158576052,0.9094922737306843
18,0.8740157480314961,0.8451612903225807,0.8938053097345132
18,0.8792650918635171,0.8571428571428571,0.8954545454545455
18,0.884514435695538,0.8589743589743589,0.9022222222222223
18,0.8740157480314961,0.8431372549019608,0.8947368421052632
18,0.884514435695538,0.8616352201257862,0.9009009009009009
18,0.9002624671916011,0.879746835443038,0.9147982062780269
18,0.8451443569553806,0.8065573770491803,0.8708971553610503
18,0.8818897637795275,0.8571428571428571,0.8993288590604027
18,0.9186351706036745,0.9046153846153846,0.9290617848970252
19,0.89501312335958,0.8701298701298701,0.9118942731277533
19,0.8740157480314961,0.8441558441558441,0.8942731277533039
19,0.8818897637795275,0.8598130841121495,0.8979591836734694
19,0.8766404199475065,0.8507936507936508,0.8948545861297539
19,0.8740157480314961,0.8431372549019608,0.8947368421052632
19,0.8818897637795275,0.8598130841121495,0.8979591836734694
19,0.8976377952755905,0.8761904761904762,0.912751677852349
19,0.8451443569553806,0.8052805280528053,0.8714596949891068
19,0.884514435695538,0.8607594936708861,0.9013452914798207
19,0.9133858267716536,0.8990825688073395,0.9241379310344827
20,0.889763779527559,0.8636363636363636,0.9074889867841409
20,0.8740157480314961,0.8451612903225807,0.8938053097345132
20,0.8818897637795275,0.8606811145510835,0.89749430523918
20,0.8818897637795275,0.8571428571428571,0.8993288590604027
20,0.8713910761154856,0.839344262295082,0.8927789934354485
20,0.8923884514435696,0.8714733542319749,0.90744920993228
20,0.8976377952755905,0.8753993610223643,0.9131403118040089
20,0.847769028871391,0.8092105263157895,0.8733624454148472
20,0.8818897637795275,0.8571428571428571,0.8993288590604027
