hyperparameters,k,accuracy,f1_0,f1_1
ignore,12,0.8713910761154856,0.8327645051194539,0.8955223880597015
ignore,12,0.868766404199475,0.845679012345679,0.8858447488584474
ignore,12,0.8871391076115486,0.8668730650154799,0.9020501138952164
ignore,12,0.889763779527559,0.8695652173913043,0.9045454545454545
ignore,12,0.884514435695538,0.8571428571428571,0.9030837004405287
ignore,12,0.8818897637795275,0.8514851485148515,0.9019607843137255
ignore,12,0.8792650918635171,0.8553459119496856,0.8963963963963963
ignore,12,0.9081364829396326,0.891640866873065,0.9202733485193622
ignore,12,0.8608923884514436,0.8284789644012945,0.8830022075055187
ignore,12,0.9002624671916011,0.879746835443038,0.9147982062780269
ignore,13,0.8661417322834646,0.8282828282828283,0.8903225806451613
ignore,13,0.8766404199475065,0.8553846153846154,0.8924485125858124
ignore,13,0.884514435695538,0.8633540372670807,0.9
ignore,13,0.8923884514435696,0.8722741433021807,0.9070294784580499
ignore,13,0.8740157480314961,0.8431372549019608,0.8947368421052632
ignore,13,0.884514435695538,0.8543046357615894,0.9043478260869565
ignore,13,0.8766404199475065,0.8526645768025078,0.8939051918735892
ignore,13,0.9081364829396326,0.891640866873065,0.9202733485193622
ignore,13,0.8661417322834646,0.8349514563106796,0.8874172185430463
ignore,13,0.89501312335958,0.8726114649681529,0.9107142857142857
ignore,14,0.8740157480314961,0.8389261744966443,0.896551724137931
ignore,14,0.8818897637795275,0.8598130841121495,0.8979591836734694
ignore,14,0.8871391076115486,0.8668730650154799,0.9020501138952164
ignore,14,0.889763779527559,0.86875,0.9049773755656109
ignore,14,0.8792650918635171,0.8525641025641025,0.8977777777777778
ignore,14,0.8792650918635171,0.8466666666666667,0.9004329004329005
ignore,14,0.884514435695538,0.8616352201257862,0.9009009009009009
ignore,14,0.905511811023622,0.8881987577639752,0.9181818181818182
ignore,14,0.8661417322834646,0.8338762214983714,0.8879120879120879
ignore,14,0.905511811023622,0.8860759493670886,0.9192825112107623
ignore,15,0.868766404199475,0.831081081081081,0.8927038626609443
ignore,15,0.8818897637795275,0.8606811145510835,0.89749430523918
ignore,15,0.884514435695538,0.8641975308641975,0.8995433789954338
ignore,15,0.8871391076115486,0.8668730650154799,0.9020501138952164
ignore,15,0.868766404199475,0.8376623376623377,0.8898678414096917
ignore,15,0.8792650918635171,0.8486842105263158,0.8995633187772926
ignore,15,0.8818897637795275,0.8589341692789969,0.8984198645598194
ignore,15,0.8976377952755905,0.8792569659442725,0.9111617312072893
