hyperparameters,ntree,accuracy,f1_0,f1_1
minimal_size_for_split=5,2,0.9212598425196851,0.9079754601226994,0.9311926605504587
minimal_size_for_split=2,2,0.9212598425196851,0.9079754601226994,0.9311926605504587
minimal_size_for_split=10,2,0.9212598425196851,0.9079754601226994,0.9311926605504587
minimal_size_for_split=10,2,0.9212598425196851,0.9079754601226994,0.9311926605504587
minimal_size_for_split=5,2,0.9212598425196851,0.9079754601226994,0.9311926605504587
minimal_size_for_split=2,2,0.9212598425196851,0.9079754601226994,0.9311926605504587
minimal_size_for_split=5,2,0.9212598425196851,0.9079754601226994,0.9311926605504587
minimal_size_for_split=5,2,0.9212598425196851,0.9079754601226994,0.9311926605504587
minimal_size_for_split=10,2,0.9212598425196851,0.9079754601226994,0.9311926605504587
minimal_size_for_split=20,2,0.9212598425196851,0.9079754601226994,0.9311926605504587
minimal_size_for_split=10,2,0.9212598425196851,0.9079754601226994,0.9311926605504587
minimal_size_for_split=2,2,0.9212598425196851,0.9079754601226994,0.9311926605504587
minimal_size_for_split=2,2,0.9212598425196851,0.9079754601226994,0.9311926605504587
minimal_size_for_split=10,2,0.926509186351706,0.9135802469135802,0.9360730593607306
minimal_size_for_split=5,2,0.9212598425196851,0.9079754601226994,0.9311926605504587
minimal_size_for_split=2,2,0.9212598425196851,0.9079754601226994,0.9311926605504587
minimal_size_for_split=5,2,0.926509186351706,0.9135802469135802,0.9360730593607306
minimal_size_for_split=2,2,0.926509186351706,0.9135802469135802,0.9360730593607306
minimal_size_for_split=5,2,0.926509186351706,0.9135802469135802,0.9360730593607306
minimal_size_for_split=10,2,0.926509186351706,0.9135802469135802,0.9360730593607306
minimal_size_for_split=10,2,0.926509186351706,0.9135802469135802,0.9360730593607306
minimal_size_for_split=5,2,0.926509186351706,0.9135802469135802,0.9360730593607306
minimal_size_for_split=20,2,0.926509186351706,0.9135802469135802,0.9360730593607306
minimal_size_for_split=10,2,0.926509186351706,0.9135802469135802,0.9360730593607306
minimal_size_for_split=2,2,0.926509186351706,0.9135802469135802,0.9360730593607306
minimal_size_for_split=2,2,0.926509186351706,0.9135802469135802,0.9360730593607306
minimal_size_for_split=10,2,0.9291338582677166,0.9198813056379822,0.9364705882352942
minimal_size_for_split=5,2,0.926509186351706,0.9135802469135802,0.9360730593607306
minimal_size_for_split=2,2,0.926509186351706,0.9135802469135802,0.9360730593607306
minimal_size_for_split=5,2,0.926509186351706,0.9135802469135802,0.9360730593607306
minimal_size_for_split=10,2,0.926509186351706,0.9135802469135802,0.9360730593607306
minimal_size_for_split=2,2,0.926509186351706,0.9135802469135802,0.9360730593607306
minimal_size_for_split=5,2,0.9291338582677166,0.9198813056379822,0.9364705882352942
minimal_size_for_split=2,2,0.9291338582677166,0.9198813056379822,0.9364705882352942
minimal_size_for_split=5,2,0.9291338582677166,0.9198813056379822,0.9364705882352942
minimal_size_for_split=5,2,0.9291338582677166,0.9198813056379822,0.9364705882352942
minimal_size_for_split=10,2,0.9291338582677166,0.9198813056379822,0.9364705882352942
minimal_size_for_split=10,2,0.9291338582677166,0.9198813056379822,0.9364705882352942
minimal_size_for_split=20,2,0.9291338582677166,0.9198813056379822,0.9364705882352942
minimal_size_for_split=10,2,0.9291338582677166,0.9198813056379822,0.9364705882352942
minimal_size_for_split=2,2,0.9291338582677166,0.9198813056379822,0.9364705882352942
minimal_size_for_split=10,2,0.937007874015748,0.9281437125748503,0.9439252336448598
minimal_size_for_split=5,2,0.9291338582677166,0.9198813056379822,0.9364705882352942
minimal_size_for_split=2,2,0.9291338582677166,0.9198813056379822,0.9364705882352942
minimal_size_for_split=5,2,0.9291338582677166,0.9198813056379822,0.9364705882352942
minimal_size_for_split=2,2,0.9291338582677166,0.9198813056379822,0.9364705882352942
minimal_size_for_split=10,2,0.9291338582677166,0.9198813056379822,0.9364705882352942
minimal_size_for_split=5,2,0.937007874015748,0.9281437125748503,0.9439252336448598
minimal_size_for_split=2,2,0.937007874015748,0.9281437125748503,0.9439252336448598
minimal_size_for_split=5,2,0.937007874015748,0.9281437125748503,0.9439252336448598
minimal_size_for_split=2,2,0.9291338582677166,0.9198813056379822,0.9364705882352942
minimal_size_for_split=10,2,0.937007874015748,0.9281437125748503,0.9439252336448598
minimal_size_for_split=10,2,0.937007874015748,0.9281437125748503,0.9439252336448598
minimal_size_for_split=20,2,0.937007874015748,0.9281437125748503,0.9439252336448598
minimal_size_for_split=10,2,0.937007874015748,0.9281437125748503,0.9439252336448598
minimal_size_for_split=10,2,0.926509186351706,0.9146341463414634,0.9354838709677419
minimal_size_for_split=2,2,0.937007874015748,0.9281437125748503,0.9439252336448598
minimal_size_for_split=5,2,0.937007874015748,0.9281437125748503,0.9439252336448598
minimal_size_for_split=5,2,0.937007874015748,0.9281437125748503,0.9439252336448598
minimal_size_for_split=5,2,0.937007874015748,0.9281437125748503,0.9439252336448598
minimal_size_for_split=2,2,0.937007874015748,0.9281437125748503,0.9439252336448598
minimal_size_for_split=2,2,0.937007874015748,0.9281437125748503,0.9439252336448598
minimal_size_for_split=10,2,0.937007874015748,0.9281437125748503,0.9439252336448598
minimal_size_for_split=5,2,0.926509186351706,0.9146341463414634,0.9354838709677419
minimal_size_for_split=2,2,0.926509186351706,0.9146341463414634,0.9354838709677419
minimal_size_for_split=5,2,0.926509186351706,0.9146341463414634,0.9354838709677419
minimal_size_for_split=10,2,0.926509186351706,0.9146341463414634,0.9354838709677419
minimal_size_for_split=2,2,0.937007874015748,0.9281437125748503,0.9439252336448598
minimal_size_for_split=20,2,0.926509186351706,0.9146341463414634,0.9354838709677419
minimal_size_for_split=10,2,0.926509186351706,0.9146341463414634,0.9354838709677419
minimal_size_for_split=10,2,0.9212598425196851,0.9074074074074074,0.9315068493150684
minimal_size_for_split=2,2,0.926509186351706,0.9146341463414634,0.9354838709677419
minimal_size_for_split=5,2,0.926509186351706,0.9146341463414634,0.9354838709677419
minimal_size_for_split=5,2,0.926509186351706,0.9146341463414634,0.9354838709677419
minimal_size_for_split=5,2,0.926509186351706,0.9146341463414634,0.9354838709677419
minimal_size_for_split=10,2,0.926509186351706,0.9146341463414634,0.9354838709677419
minimal_size_for_split=2,2,0.926509186351706,0.9146341463414634,0.9354838709677419
minimal_size_for_split=2,2,0.926509186351706,0.9146341463414634,0.9354838709677419
minimal_size_for_split=10,2,0.926509186351706,0.9146341463414634,0.9354838709677419
minimal_size_for_split=5,2,0.9212598425196851,0.9074074074074074,0.9315068493150684
minimal_size_for_split=2,2,0.9212598425196851,0.9074074074074074,0.9315068493150684
minimal_size_for_split=10,2,0.9212598425196851,0.9074074074074074,0.9315068493150684
minimal_size_for_split=5,2,0.9212598425196851,0.9074074074074074,0.9315068493150684
minimal_size_for_split=2,2,0.926509186351706,0.9146341463414634,0.9354838709677419
minimal_size_for_split=20,2,0.9212598425196851,0.9074074074074074,0.9315068493150684
minimal_size_for_split=10,2,0.9212598425196851,0.9074074074074074,0.9315068493150684
minimal_size_for_split=10,2,0.9291338582677166,0.9153605015673981,0.9390519187358917
minimal_size_for_split=2,2,0.9212598425196851,0.9074074074074074,0.9315068493150684
minimal_size_for_split=10,2,0.9212598425196851,0.9074074074074074,0.9315068493150684
minimal_size_for_split=5,2,0.9212598425196851,0.9074074074074074,0.9315068493150684
minimal_size_for_split=5,2,0.9212598425196851,0.9074074074074074,0.9315068493150684
minimal_size_for_split=5,2,0.9212598425196851,0.9074074074074074,0.9315068493150684
minimal_size_for_split=2,2,0.9212598425196851,0.9074074074074074,0.9315068493150684
minimal_size_for_split=2,2,0.9212598425196851,0.9074074074074074,0.9315068493150684
minimal_size_for_split=10,2,0.9212598425196851,0.9074074074074074,0.9315068493150684
minimal_size_for_split=5,2,0.9291338582677166,0.9153605015673981,0.9390519187358917
minimal_size_for_split=2,2,0.9291338582677166,0.9153605015673981,0.9390519187358917
minimal_size_for_split=10,2,0.9291338582677166,0.9153605015673981,0.9390519187358917
minimal_size_for_split=5,2,0.9291338582677166,0.9153605015673981,0.9390519187358917
minimal_size_for_split=2,2,0.9212598425196851,0.9074074074074074,0.9315068493150684
minimal_size_for_split=20,2,0.9291338582677166,0.9153605015673981,0.9390519187358917
minimal_size_for_split=10,2,0.9291338582677166,0.9153605015673981,0.9390519187358917
minimal_size_for_split=10,2,0.9343832020997376,0.9216300940438872,0.9435665914221218
minimal_size_for_split=10,2,0.9291338582677166,0.9153605015673981,0.9390519187358917
minimal_size_for_split=2,2,0.9291338582677166,0.9153605015673981,0.9390519187358917
minimal_size_for_split=5,2,0.9291338582677166,0.9153605015673981,0.9390519187358917
minimal_size_for_split=5,2,0.9291338582677166,0.9153605015673981,0.9390519187358917
minimal_size_for_split=5,2,0.9291338582677166,0.9153605015673981,0.9390519187358917
minimal_size_for_split=2,2,0.9291338582677166,0.9153605015673981,0.9390519187358917
