hyperparameters,ntree,accuracy,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
minimal_size_for_split=50,50,0.9555555555555556,0.9714285714285714,0.972972972972973,0.9714285714285714,0.9473684210526315,0.8888888888888888,1.0,1.0,0.9473684210526315,0.8823529411764706,0.9714285714285714
minimal_size_for_split=10,20,0.9555555555555556,1.0,0.972972972972973,0.972972972972973,1.0,0.8888888888888888,0.9473684210526315,1.0,0.8947368421052632,0.9032258064516129,0.9714285714285714
minimal_size_for_split=30,50,0.9888888888888889,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,0.9473684210526315,1.0,1.0
minimal_size_for_split=5,10,0.9555555555555556,0.9714285714285714,0.972972972972973,0.9444444444444444,0.9473684210526315,0.9473684210526315,0.9444444444444444,0.9714285714285714,0.9444444444444444,0.9375,0.972972972972973
minimal_size_for_split=20,50,0.9722222222222222,1.0,1.0,0.9714285714285714,0.918918918918919,0.972972972972973,0.972972972972973,1.0,1.0,0.9411764705882353,0.9444444444444444
minimal_size_for_split=2,1,0.4722222222222222,0.3333333333333333,0.20689655172413793,0.34782608695652173,0.6470588235294118,0.6,0.7058823529411765,0.6666666666666666,0.6206896551724138,0.5,0.2608695652173913
minimal_size_for_split=50,100,0.9388888888888889,1.0,0.8823529411764706,0.9714285714285714,0.9473684210526315,0.8947368421052632,1.0,1.0,0.8947368421052632,0.8823529411764706,0.9142857142857143
minimal_size_for_split=40,100,0.9666666666666667,1.0,1.0,0.9714285714285714,0.9473684210526315,0.918918918918919,1.0,1.0,0.918918918918919,0.9411764705882353,0.9714285714285714
minimal_size_for_split=5,1,0.75,0.8947368421052632,0.7777777777777778,0.7567567567567568,0.6060606060606061,0.8571428571428571,0.6666666666666666,0.8648648648648649,0.8484848484848485,0.5384615384615384,0.6511627906976745
minimal_size_for_split=10,1,0.7444444444444445,0.8484848484848485,0.717948717948718,0.6470588235294118,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7894736842105263,0.8648648648648649,0.6,0.7272727272727273
minimal_size_for_split=30,1,0.6944444444444444,0.8333333333333334,0.6857142857142857,0.7894736842105263,0.7272727272727273,0.8,0.7272727272727273,0.8333333333333334,0.7096774193548387,0.3125,0.5
minimal_size_for_split=20,1,0.7277777777777777,0.7804878048780488,0.45161290322580644,0.6896551724137931,0.8095238095238095,0.6,0.7083333333333334,0.8888888888888888,0.8205128205128205,0.5806451612903226,0.8484848484848485
minimal_size_for_split=40,1,0.6777777777777778,0.918918918918919,0.5142857142857142,0.8235294117647058,0.5882352941176471,0.6285714285714286,0.5641025641025641,0.6206896551724138,0.7567567567567568,0.6829268292682927,0.6666666666666666
minimal_size_for_split=50,1,0.7055555555555556,0.8421052631578947,0.6060606060606061,0.7692307692307693,0.631578947368421,0.6451612903225806,0.6111111111111112,0.8648648648648649,0.631578947368421,0.5555555555555556,0.8823529411764706
minimal_size_for_split=30,100,0.9611111111111111,1.0,0.972972972972973,1.0,0.9473684210526315,0.8888888888888888,1.0,1.0,0.8947368421052632,0.9375,0.9714285714285714
minimal_size_for_split=10,50,0.9888888888888889,1.0,1.0,1.0,0.972972972972973,0.972972972972973,1.0,1.0,0.972972972972973,0.9696969696969697,1.0
minimal_size_for_split=20,2,0.7111111111111111,0.8571428571428571,0.6153846153846154,0.7333333333333333,0.5806451612903226,0.8571428571428571,0.7619047619047619,0.8108108108108109,0.7428571428571429,0.41379310344827586,0.65
minimal_size_for_split=30,2,0.6722222222222223,0.6153846153846154,0.717948717948718,0.75,0.6666666666666666,0.8,0.7058823529411765,0.7647058823529411,0.6829268292682927,0.5,0.5161290322580645
minimal_size_for_split=10,2,0.75,0.9,0.8484848484848485,0.7222222222222222,0.6842105263157895,0.7222222222222222,0.75,0.7058823529411765,0.7272727272727273,0.5714285714285714,0.8571428571428571
minimal_size_for_split=40,2,0.7055555555555556,0.7368421052631579,0.5789473684210527,0.6666666666666666,0.8235294117647058,0.6666666666666666,0.75,0.6857142857142857,0.6875,0.625,0.8333333333333334
minimal_size_for_split=50,2,0.6333333333333333,0.8823529411764706,0.46511627906976744,0.6666666666666666,0.6875,0.5945945945945946,0.7027027027027027,0.8888888888888888,0.5,0.43902439024390244,0.5641025641025641
minimal_size_for_split=5,2,0.7833333333333333,0.8205128205128205,0.7567567567567568,0.9090909090909091,0.7317073170731707,0.9142857142857143,0.7428571428571429,0.8717948717948718,0.7428571428571429,0.6,0.7222222222222222
minimal_size_for_split=5,20,0.9722222222222222,1.0,0.9714285714285714,1.0,1.0,0.8947368421052632,1.0,1.0,0.918918918918919,0.9411764705882353,1.0
minimal_size_for_split=20,5,0.9,1.0,0.8947368421052632,0.9444444444444444,0.8823529411764706,0.9714285714285714,0.8888888888888888,0.972972972972973,0.8648648648648649,0.7647058823529411,0.8108108108108109
minimal_size_for_split=30,5,0.8722222222222222,0.972972972972973,0.8648648648648649,0.8947368421052632,0.8888888888888888,0.8333333333333334,0.8717948717948718,0.9444444444444444,0.8571428571428571,0.75,0.8235294117647058
minimal_size_for_split=10,5,0.9055555555555556,0.9473684210526315,0.8421052631578947,0.972972972972973,0.9411764705882353,0.9142857142857143,0.9142857142857143,0.9473684210526315,0.918918918918919,0.7272727272727273,0.9142857142857143
minimal_size_for_split=40,5,0.8833333333333333,1.0,0.8205128205128205,0.8823529411764706,0.8235294117647058,0.8484848484848485,0.972972972972973,0.85,0.9714285714285714,0.7647058823529411,0.8947368421052632
minimal_size_for_split=50,5,0.8222222222222222,0.972972972972973,0.6451612903225806,0.85,0.8387096774193549,0.918918918918919,0.8292682926829268,0.8571428571428571,0.7741935483870968,0.6829268292682927,0.8333333333333334
minimal_size_for_split=20,100,0.9833333333333333,1.0,1.0,1.0,0.972972972972973,0.9444444444444444,1.0,1.0,0.972972972972973,0.9696969696969697,0.972972972972973
minimal_size_for_split=5,5,0.8888888888888888,0.9473684210526315,0.8,0.8717948717948718,0.972972972972973,0.918918918918919,0.9444444444444444,0.9714285714285714,0.918918918918919,0.56,0.8888888888888888
minimal_size_for_split=20,10,0.9166666666666666,1.0,0.8333333333333334,0.9411764705882353,0.9444444444444444,0.9444444444444444,0.972972972972973,0.9444444444444444,0.9230769230769231,0.7777777777777778,0.8823529411764706
minimal_size_for_split=10,10,0.9555555555555556,1.0,0.9473684210526315,0.972972972972973,0.9411764705882353,0.9473684210526315,0.9444444444444444,0.9714285714285714,1.0,0.8823529411764706,0.9444444444444444
minimal_size_for_split=30,10,0.9222222222222223,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9142857142857143,0.9473684210526315,0.918918918918919,0.9714285714285714,0.8888888888888888,0.8666666666666667,0.8571428571428571
minimal_size_for_split=40,10,0.8888888888888888,1.0,0.8333333333333334,0.972972972972973,0.9142857142857143,0.9142857142857143,0.8421052631578947,0.9142857142857143,0.9473684210526315,0.6857142857142857,0.8571428571428571
minimal_size_for_split=50,10,0.9277777777777778,0.972972972972973,0.8947368421052632,0.918918918918919,0.9444444444444444,0.9142857142857143,0.9444444444444444,0.9714285714285714,0.9230769230769231,0.8125,0.9714285714285714
minimal_size_for_split=2,2,0.4722222222222222,0.3333333333333333,0.20689655172413793,0.34782608695652173,0.6470588235294118,0.6,0.7058823529411765,0.6666666666666666,0.6206896551724138,0.5,0.2608695652173913
minimal_size_for_split=2,1,0.5,0.32432432432432434,0.4,0.6875,0.6666666666666666,0.5161290322580645,0.5714285714285714,0.8387096774193549,0.6666666666666666,0.18181818181818182,0.5384615384615384
minimal_size_for_split=5,10,0.9555555555555556,0.972972972972973,0.9444444444444444,1.0,0.972972972972973,0.9473684210526315,0.9230769230769231,1.0,0.9411764705882353,0.9090909090909091,0.9411764705882353
minimal_size_for_split=30,20,0.9444444444444444,1.0,0.85,1.0,0.9142857142857143,0.918918918918919,0.9444444444444444,0.9714285714285714,1.0,0.9090909090909091,0.9444444444444444
minimal_size_for_split=20,20,0.9555555555555556,1.0,0.8571428571428571,0.972972972972973,1.0,0.972972972972973,0.972972972972973,0.9714285714285714,1.0,0.8571428571428571,0.9444444444444444
minimal_size_for_split=50,20,0.9333333333333333,0.972972972972973,0.8648648648648649,0.9714285714285714,0.9714285714285714,0.9473684210526315,0.9142857142857143,0.9142857142857143,0.9444444444444444,0.8888888888888888,0.9444444444444444
minimal_size_for_split=40,20,0.9,0.9473684210526315,0.8571428571428571,0.8888888888888888,0.9142857142857143,0.918918918918919,0.9444444444444444,0.9714285714285714,0.8888888888888888,0.7142857142857143,0.918918918918919
minimal_size_for_split=10,20,0.9722222222222222,1.0,0.972972972972973,0.9714285714285714,0.9714285714285714,0.972972972972973,0.972972972972973,1.0,0.9473684210526315,0.9411764705882353,0.9714285714285714
minimal_size_for_split=10,100,0.9777777777777777,1.0,0.972972972972973,1.0,0.972972972972973,0.9444444444444444,1.0,1.0,0.9473684210526315,0.9375,1.0
minimal_size_for_split=5,20,0.9555555555555556,1.0,0.972972972972973,0.9444444444444444,0.9142857142857143,0.972972972972973,0.972972972972973,1.0,0.9714285714285714,0.8333333333333334,0.9714285714285714
minimal_size_for_split=20,50,0.9722222222222222,1.0,0.972972972972973,0.9714285714285714,0.9714285714285714,0.972972972972973,0.972972972972973,1.0,0.972972972972973,0.9142857142857143,0.9714285714285714
minimal_size_for_split=2,2,0.4888888888888889,0.33962264150943394,0.4166666666666667,0.5925925925925926,0.42857142857142855,0.5714285714285714,0.5384615384615384,0.8125,0.5714285714285714,0.4827586206896552,0.5
minimal_size_for_split=5,50,0.9833333333333333,0.972972972972973,1.0,1.0,0.972972972972973,0.972972972972973,1.0,0.9714285714285714,0.972972972972973,0.9696969696969697,1.0
minimal_size_for_split=30,50,0.9444444444444444,1.0,0.8947368421052632,0.9714285714285714,0.9090909090909091,0.972972972972973,0.972972972972973,0.9714285714285714,0.972972972972973,0.8571428571428571,0.918918918918919
minimal_size_for_split=40,50,0.9555555555555556,1.0,0.8947368421052632,0.972972972972973,0.9714285714285714,0.9444444444444444,0.972972972972973,0.9714285714285714,1.0,0.8823529411764706,0.9444444444444444
minimal_size_for_split=50,50,0.9277777777777778,0.972972972972973,0.8571428571428571,0.9714285714285714,0.9444444444444444,0.972972972972973,0.9142857142857143,0.9444444444444444,0.9230769230769231,0.8571428571428571,0.9142857142857143
minimal_size_for_split=10,50,0.9722222222222222,1.0,0.918918918918919,1.0,1.0,0.972972972972973,0.972972972972973,0.9714285714285714,1.0,0.9142857142857143,0.9714285714285714
minimal_size_for_split=30,100,0.9555555555555556,1.0,0.8888888888888888,1.0,0.9411764705882353,0.972972972972973,0.972972972972973,0.9714285714285714,1.0,0.8648648648648649,0.9444444444444444
minimal_size_for_split=20,100,0.9611111111111111,1.0,0.918918918918919,0.9714285714285714,0.9714285714285714,0.972972972972973,0.972972972972973,0.9714285714285714,0.972972972972973,0.8888888888888888,0.9714285714285714
minimal_size_for_split=40,100,0.9666666666666667,1.0,0.9444444444444444,0.9714285714285714,0.9714285714285714,0.972972972972973,0.972972972972973,1.0,0.972972972972973,0.9142857142857143,0.9444444444444444
minimal_size_for_split=50,100,0.9611111111111111,1.0,0.918918918918919,1.0,0.9411764705882353,0.972972972972973,0.972972972972973,0.9714285714285714,1.0,0.8888888888888888,0.9444444444444444
minimal_size_for_split=5,1,0.7611111111111111,0.7272727272727273,0.8,0.918918918918919,0.6470588235294118,0.7878787878787878,0.7777777777777778,0.8205128205128205,0.9090909090909091,0.4117647058823529,0.8
minimal_size_for_split=10,1,0.7777777777777778,0.8292682926829268,0.75,0.75,0.8571428571428571,0.7878787878787878,0.7027027027027027,0.9411764705882353,0.8484848484848485,0.5405405405405406,0.7894736842105263
minimal_size_for_split=20,1,0.6777777777777778,0.7878787878787878,0.5,0.8,0.631578947368421,0.6857142857142857,0.7441860465116279,0.7368421052631579,0.8205128205128205,0.3870967741935484,0.625
minimal_size_for_split=30,1,0.7055555555555556,0.8,0.5957446808510638,0.7567567567567568,0.8125,0.6666666666666666,0.8636363636363636,0.7058823529411765,0.6285714285714286,0.48484848484848486,0.7222222222222222
minimal_size_for_split=40,1,0.6555555555555556,0.8387096774193549,0.42105263157894735,0.6111111111111112,0.43902439024390244,0.7317073170731707,0.7567567567567568,0.8648648648648649,0.7428571428571429,0.4666666666666667,0.7058823529411765
minimal_size_for_split=50,1,0.7055555555555556,0.7777777777777778,0.8,0.6666666666666666,0.7027027027027027,0.7428571428571429,0.7,0.8888888888888888,0.6153846153846154,0.6666666666666666,0.5365853658536586
minimal_size_for_split=2,5,0.5222222222222223,0.3157894736842105,0.46153846153846156,0.5925925925925926,0.5925925925925926,0.6896551724137931,0.6666666666666666,0.8387096774193549,0.6428571428571429,0.46153846153846156,0.56
minimal_size_for_split=5,2,0.7222222222222222,0.7142857142857143,0.7894736842105263,0.8292682926829268,0.6451612903225806,0.7428571428571429,0.7272727272727273,0.8,0.7894736842105263,0.4666666666666667,0.6486486486486487
minimal_size_for_split=10,2,0.7611111111111111,0.8717948717948718,0.7804878048780488,0.8,0.7142857142857143,0.5454545454545454,0.7619047619047619,0.8235294117647058,0.8,0.6857142857142857,0.7894736842105263
minimal_size_for_split=20,2,0.8,0.8387096774193549,0.7,0.8108108108108109,0.8571428571428571,0.8947368421052632,0.7804878048780488,0.8717948717948718,0.8571428571428571,0.5625,0.8125
minimal_size_for_split=30,2,0.7444444444444445,0.8,0.6511627906976745,0.8717948717948718,0.625,0.65,0.7692307692307693,0.9411764705882353,0.75,0.6428571428571429,0.7272727272727273
minimal_size_for_split=40,2,0.7055555555555556,0.9411764705882353,0.8205128205128205,0.7619047619047619,0.6486486486486487,0.7777777777777778,0.8205128205128205,0.7142857142857143,0.30303030303030304,0.5517241379310345,0.6206896551724138
minimal_size_for_split=50,2,0.6666666666666666,0.6363636363636364,0.6486486486486487,0.717948717948718,0.6666666666666666,0.6,0.7804878048780488,0.8108108108108109,0.7317073170731707,0.2727272727272727,0.6060606060606061
minimal_size_for_split=5,50,0.9722222222222222,1.0,0.972972972972973,0.9714285714285714,0.9411764705882353,1.0,1.0,1.0,0.972972972972973,0.8888888888888888,0.9714285714285714
minimal_size_for_split=10,100,0.9722222222222222,1.0,0.9473684210526315,1.0,0.9714285714285714,0.972972972972973,0.972972972972973,0.9714285714285714,1.0,0.9142857142857143,0.9714285714285714
minimal_size_for_split=10,5,0.9166666666666666,1.0,0.918918918918919,0.972972972972973,0.8717948717948718,0.9142857142857143,0.9743589743589743,0.9473684210526315,0.9090909090909091,0.8387096774193549,0.8
minimal_size_for_split=2,1,0.48333333333333334,0.32,0.6875,0.48,0.45714285714285713,0.5517241379310345,0.5517241379310345,0.6428571428571429,0.7096774193548387,0.2857142857142857,0.4666666666666667
minimal_size_for_split=5,5,0.8944444444444445,0.8780487804878049,0.8,0.9473684210526315,0.9411764705882353,0.9090909090909091,0.9,0.9714285714285714,0.9142857142857143,0.8,0.8823529411764706
minimal_size_for_split=20,5,0.8944444444444445,0.9142857142857143,0.918918918918919,0.8947368421052632,0.9,0.8205128205128205,0.918918918918919,0.9411764705882353,0.9090909090909091,0.8571428571428571,0.875
minimal_size_for_split=40,5,0.8722222222222222,0.9473684210526315,0.8648648648648649,0.85,0.8888888888888888,0.875,0.8780487804878049,0.9444444444444444,0.8235294117647058,0.8387096774193549,0.8
minimal_size_for_split=30,5,0.9,0.9444444444444444,0.8571428571428571,0.9142857142857143,0.8108108108108109,0.8823529411764706,1.0,0.9444444444444444,0.8947368421052632,0.8235294117647058,0.918918918918919
minimal_size_for_split=50,5,0.8666666666666667,1.0,0.7894736842105263,0.918918918918919,0.8823529411764706,0.8484848484848485,0.8947368421052632,0.918918918918919,0.918918918918919,0.7333333333333333,0.75
minimal_size_for_split=10,10,0.9722222222222222,0.972972972972973,0.9714285714285714,0.972972972972973,1.0,0.9714285714285714,1.0,1.0,0.9444444444444444,0.9090909090909091,0.972972972972973
minimal_size_for_split=20,10,0.9222222222222223,0.972972972972973,0.8333333333333334,0.8095238095238095,0.972972972972973,0.9714285714285714,0.972972972972973,0.9714285714285714,0.9411764705882353,0.8484848484848485,0.9411764705882353
minimal_size_for_split=30,10,0.9277777777777778,0.972972972972973,0.918918918918919,0.972972972972973,0.8333333333333334,0.9090909090909091,0.95,0.9473684210526315,0.9444444444444444,0.9090909090909091,0.9090909090909091
minimal_size_for_split=40,10,0.9,0.918918918918919,0.8947368421052632,0.8333333333333334,0.8717948717948718,0.8571428571428571,0.9743589743589743,1.0,0.8648648648648649,0.9375,0.8387096774193549
minimal_size_for_split=50,10,0.8777777777777778,0.9444444444444444,0.9142857142857143,0.8421052631578947,0.8571428571428571,0.9230769230769231,0.8717948717948718,0.9714285714285714,0.8333333333333334,0.7333333333333333,0.8648648648648649
minimal_size_for_split=5,10,0.9388888888888889,0.918918918918919,0.9411764705882353,0.9473684210526315,0.9142857142857143,0.972972972972973,0.9230769230769231,0.9714285714285714,0.972972972972973,0.8484848484848485,0.9714285714285714
minimal_size_for_split=2,5,0.5055555555555555,0.29508196721311475,0.7333333333333333,0.6153846153846154,0.4166666666666667,0.6666666666666666,0.5384615384615384,0.8,0.56,0.5,0.6153846153846154
