k,accuracy,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9
14,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714
14,0.9888888888888889,1.0,1.0,1.0,0.9714285714285714,1.0,0.95,1.0,1.0,1.0,0.9714285714285714
14,0.9888888888888889,1.0,0.972972972972973,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9696969696969697,0.9714285714285714
14,0.9944444444444445,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.9714285714285714,1.0,1.0
14,0.9888888888888889,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714,0.972972972972973
14,0.9722222222222222,0.972972972972973,0.9230769230769231,0.9714285714285714,1.0,1.0,0.9714285714285714,0.9714285714285714,1.0,0.9411764705882353,0.972972972972973
14,0.9944444444444445,1.0,0.972972972972973,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,1.0
14,0.9664804469273743,1.0,0.9230769230769231,0.9696969696969697,0.9743589743589743,0.9714285714285714,0.9714285714285714,0.972972972972973,1.0,0.9375,0.9444444444444444
14,0.9720670391061452,1.0,0.95,1.0,0.972972972972973,1.0,0.9714285714285714,1.0,0.9473684210526315,0.9375,0.9444444444444444
14,0.9664804469273743,1.0,1.0,0.9696969696969697,0.9743589743589743,0.9411764705882353,0.972972972972973,1.0,0.972972972972973,0.918918918918919,0.9090909090909091
15,0.9944444444444445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714
15,0.9833333333333333,1.0,0.972972972972973,1.0,0.9714285714285714,1.0,0.95,1.0,1.0,0.9696969696969697,0.9714285714285714
15,0.9833333333333333,1.0,0.972972972972973,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,0.9411764705882353,0.9714285714285714
15,0.9944444444444445,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.9714285714285714,1.0,1.0
15,0.9944444444444445,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,1.0,0.9714285714285714,1.0
15,0.9722222222222222,0.972972972972973,0.9230769230769231,0.9714285714285714,1.0,1.0,0.9714285714285714,0.9714285714285714,1.0,0.9411764705882353,0.972972972972973
15,0.9833333333333333,1.0,0.9473684210526315,1.0,1.0,0.972972972972973,0.9714285714285714,1.0,1.0,0.9411764705882353,1.0
15,0.9776536312849162,1.0,0.9473684210526315,0.9696969696969697,1.0,1.0,0.9714285714285714,0.972972972972973,1.0,0.9375,0.972972972972973
15,0.9720670391061452,1.0,0.95,1.0,0.972972972972973,1.0,0.9714285714285714,1.0,0.9473684210526315,0.9375,0.9444444444444444
15,0.9664804469273743,1.0,1.0,0.9696969696969697,0.9743589743589743,0.9411764705882353,0.972972972972973,1.0,0.9473684210526315,0.9444444444444444,0.9090909090909091
16,0.9833333333333333,1.0,1.0,1.0,0.9714285714285714,1.0,0.972972972972973,1.0,0.972972972972973,0.9714285714285714,0.9411764705882353
16,0.9888888888888889,1.0,1.0,1.0,0.9714285714285714,1.0,0.95,1.0,1.0,1.0,0.9714285714285714
16,0.9833333333333333,1.0,0.972972972972973,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,0.9411764705882353,0.9714285714285714
16,0.9944444444444445,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.9714285714285714,1.0,1.0
16,0.9888888888888889,1.0,1.0,1.0,0.972972972972973,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714,0.972972972972973
16,0.9722222222222222,0.972972972972973,0.9473684210526315,0.9714285714285714,1.0,1.0,0.9714285714285714,0.9714285714285714,1.0,0.9142857142857143,0.972972972972973
16,0.9888888888888889,1.0,0.972972972972973,1.0,1.0,0.972972972972973,0.9714285714285714,1.0,1.0,0.9714285714285714,1.0
16,0.9664804469273743,1.0,0.9230769230769231,0.9696969696969697,0.9743589743589743,0.9714285714285714,0.9714285714285714,0.972972972972973,1.0,0.9375,0.9444444444444444
16,0.9720670391061452,1.0,0.95,1.0,0.972972972972973,1.0,0.9714285714285714,1.0,0.9473684210526315,0.9375,0.9444444444444444
16,0.9664804469273743,1.0,1.0,0.9696969696969697,0.9743589743589743,0.9411764705882353,0.972972972972973,1.0,0.9473684210526315,0.9444444444444444,0.9090909090909091
17,0.9833333333333333,1.0,1.0,1.0,0.9714285714285714,1.0,0.972972972972973,1.0,0.972972972972973,0.9714285714285714,0.9411764705882353
17,0.9833333333333333,1.0,0.972972972972973,1.0,0.9714285714285714,1.0,0.95,1.0,1.0,0.9696969696969697,0.9714285714285714
17,0.9833333333333333,1.0,0.972972972972973,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,0.9411764705882353,0.9714285714285714
17,0.9888888888888889,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.9444444444444444,0.9714285714285714,1.0
17,0.9888888888888889,1.0,1.0,1.0,0.972972972972973,1.0,0.9714285714285714,1.0,1.0,0.9714285714285714,0.972972972972973
17,0.9777777777777777,1.0,0.9473684210526315,1.0,1.0,1.0,0.9714285714285714,0.9714285714285714,1.0,0.9142857142857143,0.972972972972973
17,0.9833333333333333,1.0,0.9473684210526315,1.0,1.0,0.972972972972973,0.9714285714285714,1.0,1.0,0.9411764705882353,1.0
17,0.9776536312849162,1.0,0.9473684210526315,0.9696969696969697,1.0,1.0,0.9714285714285714,0.972972972972973,1.0,0.9375,0.972972972972973
17,0.9720670391061452,1.0,0.95,1.0,0.972972972972973,1.0,0.9714285714285714,1.0,0.9473684210526315,0.9375,0.9444444444444444
17,0.9720670391061452,1.0,1.0,0.9696969696969697,0.9743589743589743,0.9411764705882353,0.972972972972973,1.0,0.9473684210526315,0.9714285714285714,0.9411764705882353
18,0.9777777777777777,1.0,1.0,1.0,0.9411764705882353,1.0,0.972972972972973,1.0,0.9473684210526315,0.9714285714285714,0.9411764705882353
18,0.9833333333333333,1.0,0.972972972972973,1.0,0.9714285714285714,1.0,0.95,1.0,1.0,0.9696969696969697,0.9714285714285714
18,0.9833333333333333,1.0,0.972972972972973,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,0.9411764705882353,0.9714285714285714
18,0.9888888888888889,1.0,1.0,1.0,1.0,0.9714285714285714,1.0,1.0,0.9444444444444444,0.9714285714285714,1.0
